Artikelnummer;Verkaufspreis
234057100242;893.00
234057100244;998.00
234064100242;942.00
234064100244;1'047.00
234051100242;439.00
234051100244;547.00
234072100242;535.00
234072100244;640.00
212144242;770.00
212144244;875.00
212149242;842.00
212149244;947.00
212156241;806.00
212156243;911.00
212157241;842.00
212157243;947.00
213120100241;330.00
213120100243;435.00
234551100;683.00
234552100;974.00
234155100183;710.00
234155100184;835.00
234156100183;767.00
234156100184;892.00
234157100183;668.00
234157100184;793.00
234158100183;725.00
234158100184;850.00
234161100183;835.00
234161100184;959.00
234162100183;891.00
234162100184;1'015.00
234163100183;851.00
234163100184;977.00
234164100183;909.00
234164100184;1'035.00
234188100183;484.00
234188184;609.00
234189100183;540.00
234189184;665.00
234190100183;519.00
234190184;644.00
234191100183;575.00
234191184;700.00
234192100183;608.00
234192184;733.00
234193100183;665.00
234193184;790.00
234194100183;625.00
234194184;750.00
234195100183;681.00
234195184;806.00
234196100183;608.00
234196184;733.00
234197100183;665.00
234197184;790.00
234198100183;625.00
234198184;750.00
234199100183;681.00
234199184;806.00
234171242;909.00
234171244;1'034.00
234172242;781.00
234172244;909.00
234173242;790.00
234173244;918.00
234174242;926.00
234174244;1'051.00
234176100244;989.00
234177100244;1'153.00
212650100242;326.00
212650100244;437.00
212651100241;326.00
212651100243;437.00
212652100241;326.00
212652100243;437.00
212653100242;352.00
212653100244;461.00
212654100241;371.00
212654100243;478.00
212655100241;371.00
212655100243;478.00
212656100242;362.00
212656100244;473.00
212657100241;352.00
212657100243;461.00
212658100241;352.00
212658100243;461.00
212659100241;380.00
212659100243;484.00
212660100241;380.00
212660100243;484.00
212661100242;376.00
212661100244;480.00
212662100241;390.00
212662100243;497.00
212663100241;390.00
212663100243;497.00
212699100241;329.00
212699100243;426.00
292145;926.00
292146;926.00
292147;926.00
292148;926.00
292149;926.00
292150;926.00
292151;926.00
292152;813.00
292153;669.00
212892100242;351.00
212625241;560.00
212625242;560.00
212625100293;694.00
212625100294;694.00
212627241;1'104.00
212627242;1'104.00
212627100293;1'238.00
212627100294;1'238.00
212900241;488.00
212900242;488.00
212900100293;626.00
212900100294;626.00
